year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,4,5,57,22.38,27.797,100.56,10,ML,0.6,2022-01-04 05:57:22.380
2022,1,4,6,6,13.07,27.808,100.652,10,ML,0.1,2022-01-04 06:06:13.070
2022,1,4,6,17,57.19,27.819,100.655,10,ML,1.2,2022-01-04 06:17:57.190
2022,1,4,6,41,19.27,27.817,100.631,10,ML,0.3,2022-01-04 06:41:19.270
2022,1,4,6,52,15.98,27.848,100.561,10,ML,1.1,2022-01-04 06:52:15.980
2022,1,4,7,16,19.77,27.111,102.861,15,ML,1.6,2022-01-04 07:16:19.770
2022,1,4,7,45,53.31,28.145,104.182,10,ML,1.3,2022-01-04 07:45:53.310
2022,1,4,7,47,41.68,27.818,100.648,10,ML,0.2,2022-01-04 07:47:41.680
2022,1,4,7,49,46.12,27.823,100.584,10,ML,0.4,2022-01-04 07:49:46.120
2022,1,4,7,52,34.45,28.196,104.769,10,ML,0.7,2022-01-04 07:52:34.450
2022,1,4,7,52,51.39,27.864,100.565,10,ML,1.8,2022-01-04 07:52:51.390
2022,1,4,8,5,26.21,23.272,100.628,10,ML,1.4,2022-01-04 08:05:26.210
2022,1,4,8,6,44.44,27.822,100.626,10,ML,0.6,2022-01-04 08:06:44.440
2022,1,4,8,15,33.75,27.817,100.636,10,ML,0.9,2022-01-04 08:15:33.750
2022,1,4,9,1,26.59,29.466,104.523,4,ML,1.4,2022-01-04 09:01:26.590
2022,1,4,9,3,13.55,27.926,101.39,11,ML,1.5,2022-01-04 09:03:13.550
2022,1,4,9,5,13.57,27.82,100.641,5,ML,0.5,2022-01-04 09:05:13.570
2022,1,4,9,13,53.19,27.823,100.552,10,ML,1.1,2022-01-04 09:13:53.190
2022,1,4,9,49,22.71,28.166,104.894,10,ML,1.7,2022-01-04 09:49:22.710
2022,1,4,10,7,13.82,27.829,100.636,9,ML,0.7,2022-01-04 10:07:13.820
2022,1,4,10,20,19.25,27.81,100.632,9,ML,0.8,2022-01-04 10:20:19.250
2022,1,4,10,22,53.87,27.816,100.563,9,ML,1.2,2022-01-04 10:22:53.870
2022,1,4,10,24,50.47,27.856,100.657,3,ML,0.6,2022-01-04 10:24:50.470
2022,1,4,10,25,29.01,27.769,100.614,10,ML,0.1,2022-01-04 10:25:29.010
2022,1,4,11,0,58.84,28.17,104.972,10,ML,1.9,2022-01-04 11:00:58.840
2022,1,4,11,9,20.55,29.235,105.909,5,ML,1.8,2022-01-04 11:09:20.550
2022,1,4,11,31,1.67,29.148,105.761,23,ML,1.5,2022-01-04 11:31:01.670
